Global Batch Size: 4096
Micro Batch Size (B): 128
Number of GPUs: 8
Gradient Accumulation Steps: 4
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
RESUMING FROM STEP 10001 | New Max LR: 0.001
RESUME DEBUG: Batch Labels: tensor([586,  81, 235, 603, 408, 612, 803, 397,  16,  50])
RESUME DEBUG: Pixel Mean: -0.0127, Std: 1.1915
step 10001 | loss: 6.842347 | lr 8.2919e-04 | norm: 4.9667 | dt: 64493.22ms | img/sec: 63.51
/root/.venv/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
step 10002 | loss: 6.794902 | lr 8.2915e-04 | norm: 10.6456 | dt: 1345.24ms | img/sec: 3044.80
step 10003 | loss: 6.798325 | lr 8.2910e-04 | norm: 11.0063 | dt: 1540.07ms | img/sec: 2659.62
step 10004 | loss: 6.771561 | lr 8.2905e-04 | norm: 3.1073 | dt: 1534.76ms | img/sec: 2668.82
step 10005 | loss: 6.806916 | lr 8.2901e-04 | norm: 3.4884 | dt: 1484.77ms | img/sec: 2758.67
step 10006 | loss: 6.783910 | lr 8.2896e-04 | norm: 33.0740 | dt: 1419.01ms | img/sec: 2886.52
step 10007 | loss: 6.792598 | lr 8.2891e-04 | norm: 12.8844 | dt: 5495.81ms | img/sec: 745.30
step 10008 | loss: 6.836812 | lr 8.2887e-04 | norm: 3.6943 | dt: 1337.10ms | img/sec: 3063.34
step 10009 | loss: 6.797116 | lr 8.2882e-04 | norm: 2.3357 | dt: 1421.94ms | img/sec: 2880.57
step 10010 | loss: 6.799587 | lr 8.2877e-04 | norm: 8.8609 | dt: 1401.99ms | img/sec: 2921.56
step 10011 | loss: 6.824883 | lr 8.2873e-04 | norm: 3.5042 | dt: 1416.96ms | img/sec: 2890.70
step 10012 | loss: 6.811423 | lr 8.2868e-04 | norm: 5.0434 | dt: 1366.70ms | img/sec: 2997.01
step 10013 | loss: 6.793421 | lr 8.2863e-04 | norm: 3.6408 | dt: 5739.76ms | img/sec: 713.62
step 10014 | loss: 6.800866 | lr 8.2859e-04 | norm: 8.8365 | dt: 1347.25ms | img/sec: 3040.26
step 10015 | loss: 6.805900 | lr 8.2854e-04 | norm: 6.0418 | dt: 1415.04ms | img/sec: 2894.62
step 10016 | loss: 6.781696 | lr 8.2849e-04 | norm: 19.8156 | dt: 1353.86ms | img/sec: 3025.42
step 10017 | loss: 6.798661 | lr 8.2845e-04 | norm: 6.5483 | dt: 1375.65ms | img/sec: 2977.51
step 10018 | loss: 6.804563 | lr 8.2840e-04 | norm: 6.6582 | dt: 1428.04ms | img/sec: 2868.26
step 10019 | loss: 6.805295 | lr 8.2835e-04 | norm: 3.4442 | dt: 1427.65ms | img/sec: 2869.05
step 10020 | loss: 6.807825 | lr 8.2831e-04 | norm: 2.4614 | dt: 2606.46ms | img/sec: 1571.48
step 10021 | loss: 6.808798 | lr 8.2826e-04 | norm: 2.6518 | dt: 1482.94ms | img/sec: 2762.08
step 10022 | loss: 6.797904 | lr 8.2821e-04 | norm: 7.8013 | dt: 3492.34ms | img/sec: 1172.85
step 10023 | loss: 6.815766 | lr 8.2817e-04 | norm: 2.9849 | dt: 2045.89ms | img/sec: 2002.06
step 10024 | loss: 6.823505 | lr 8.2812e-04 | norm: 21.1633 | dt: 1394.82ms | img/sec: 2936.58
step 10025 | loss: 6.797355 | lr 8.2807e-04 | norm: 10.7060 | dt: 5540.82ms | img/sec: 739.24
step 10026 | loss: 6.805150 | lr 8.2803e-04 | norm: 4.4482 | dt: 1375.97ms | img/sec: 2976.81
step 10027 | loss: 6.803476 | lr 8.2798e-04 | norm: 6.0556 | dt: 1427.93ms | img/sec: 2868.49
step 10028 | loss: 6.807896 | lr 8.2794e-04 | norm: 12.7821 | dt: 1595.40ms | img/sec: 2567.38
step 10029 | loss: 6.780223 | lr 8.2789e-04 | norm: 2.2839 | dt: 1425.57ms | img/sec: 2873.23
step 10030 | loss: 6.781516 | lr 8.2784e-04 | norm: 3.5381 | dt: 2001.02ms | img/sec: 2046.96
step 10031 | loss: 6.802399 | lr 8.2780e-04 | norm: 12.0683 | dt: 1922.43ms | img/sec: 2130.63
step 10032 | loss: 6.811916 | lr 8.2775e-04 | norm: 20.6735 | dt: 1381.92ms | img/sec: 2964.00
step 10033 | loss: 6.831486 | lr 8.2770e-04 | norm: 4.2488 | dt: 7141.32ms | img/sec: 573.56
step 10034 | loss: 6.797189 | lr 8.2766e-04 | norm: 4.3994 | dt: 1402.31ms | img/sec: 2920.90
step 10035 | loss: 6.788428 | lr 8.2761e-04 | norm: 2.6906 | dt: 1491.21ms | img/sec: 2746.77
step 10036 | loss: 6.817814 | lr 8.2756e-04 | norm: 3.7014 | dt: 1540.18ms | img/sec: 2659.42
