Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105139 | loss: 2.523714 | lr 2.0000e-05 | norm: 0.4846 | dt: 8043.89ms | img/sec: 509.21
step 105140 | loss: 2.482926 | lr 2.0000e-05 | norm: 0.4839 | dt: 2063.05ms | img/sec: 1985.41
step 105141 | loss: 2.523933 | lr 2.0000e-05 | norm: 0.4778 | dt: 2132.53ms | img/sec: 1920.72
step 105142 | loss: 2.416869 | lr 2.0000e-05 | norm: 0.4764 | dt: 2101.07ms | img/sec: 1949.48
step 105143 | loss: 2.440283 | lr 2.0000e-05 | norm: 0.4758 | dt: 2055.30ms | img/sec: 1992.90
step 105144 | loss: 2.486905 | lr 1.9999e-05 | norm: 0.4800 | dt: 2087.80ms | img/sec: 1961.87
step 105145 | loss: 2.505089 | lr 1.9999e-05 | norm: 0.4768 | dt: 2068.33ms | img/sec: 1980.34
step 105146 | loss: 2.468146 | lr 1.9999e-05 | norm: 0.4697 | dt: 2085.30ms | img/sec: 1964.23
step 105147 | loss: 2.474028 | lr 1.9999e-05 | norm: 0.4704 | dt: 2085.59ms | img/sec: 1963.96
step 105148 | loss: 2.530485 | lr 1.9998e-05 | norm: 0.4821 | dt: 2059.43ms | img/sec: 1988.90
step 105149 | loss: 2.456530 | lr 1.9998e-05 | norm: 0.4732 | dt: 2142.01ms | img/sec: 1912.22
step 105150 | loss: 2.512923 | lr 1.9998e-05 | norm: 0.4829 | dt: 2060.18ms | img/sec: 1988.18
step 105151 | loss: 2.484837 | lr 1.9997e-05 | norm: 0.4872 | dt: 2067.38ms | img/sec: 1981.25
step 105152 | loss: 2.514410 | lr 1.9997e-05 | norm: 0.4858 | dt: 2117.13ms | img/sec: 1934.69
step 105153 | loss: 2.489355 | lr 1.9996e-05 | norm: 0.4865 | dt: 2073.22ms | img/sec: 1975.67
step 105154 | loss: 2.473610 | lr 1.9995e-05 | norm: 0.4833 | dt: 2062.01ms | img/sec: 1986.41
step 105155 | loss: 2.460163 | lr 1.9995e-05 | norm: 0.4819 | dt: 2058.51ms | img/sec: 1989.78
step 105156 | loss: 2.466532 | lr 1.9994e-05 | norm: 0.4834 | dt: 2070.70ms | img/sec: 1978.07
step 105157 | loss: 2.472692 | lr 1.9993e-05 | norm: 0.4814 | dt: 2075.84ms | img/sec: 1973.17
step 105158 | loss: 2.500855 | lr 1.9993e-05 | norm: 0.4860 | dt: 2145.51ms | img/sec: 1909.10
step 105159 | loss: 2.480607 | lr 1.9992e-05 | norm: 0.4674 | dt: 2081.82ms | img/sec: 1967.51
step 105160 | loss: 2.489119 | lr 1.9991e-05 | norm: 0.4850 | dt: 2078.21ms | img/sec: 1970.92
step 105161 | loss: 2.552939 | lr 1.9990e-05 | norm: 0.4934 | dt: 2161.40ms | img/sec: 1895.06
step 105162 | loss: 2.461078 | lr 1.9989e-05 | norm: 0.4880 | dt: 2119.49ms | img/sec: 1932.54
step 105163 | loss: 2.471678 | lr 1.9988e-05 | norm: 0.4695 | dt: 2070.16ms | img/sec: 1978.59
step 105164 | loss: 2.442037 | lr 1.9987e-05 | norm: 0.4788 | dt: 2060.69ms | img/sec: 1987.69
step 105165 | loss: 2.503230 | lr 1.9986e-05 | norm: 0.4801 | dt: 2107.60ms | img/sec: 1943.44
step 105166 | loss: 2.425435 | lr 1.9985e-05 | norm: 0.4865 | dt: 2075.55ms | img/sec: 1973.45
step 105167 | loss: 2.508959 | lr 1.9984e-05 | norm: 0.4880 | dt: 2065.34ms | img/sec: 1983.21
step 105168 | loss: 2.498532 | lr 1.9983e-05 | norm: 0.4937 | dt: 2130.17ms | img/sec: 1922.85
step 105169 | loss: 2.482065 | lr 1.9982e-05 | norm: 0.4790 | dt: 2071.85ms | img/sec: 1976.97
step 105170 | loss: 2.457045 | lr 1.9981e-05 | norm: 0.4784 | dt: 2067.48ms | img/sec: 1981.15
step 105171 | loss: 2.521028 | lr 1.9979e-05 | norm: 0.4856 | dt: 2075.16ms | img/sec: 1973.82
step 105172 | loss: 2.482160 | lr 1.9978e-05 | norm: 0.4758 | dt: 2145.12ms | img/sec: 1909.45
step 105173 | loss: 2.431992 | lr 1.9977e-05 | norm: 0.4786 | dt: 2106.70ms | img/sec: 1944.27
step 105174 | loss: 2.495579 | lr 1.9975e-05 | norm: 0.4759 | dt: 2076.63ms | img/sec: 1972.43
step 105175 | loss: 2.465656 | lr 1.9974e-05 | norm: 0.4816 | dt: 2066.75ms | img/sec: 1981.85
step 105176 | loss: 2.432913 | lr 1.9972e-05 | norm: 0.4886 | dt: 2066.25ms | img/sec: 1982.34
step 105177 | loss: 2.494837 | lr 1.9971e-05 | norm: 0.4792 | dt: 2073.47ms | img/sec: 1975.43
step 105178 | loss: 2.504124 | lr 1.9969e-05 | norm: 0.4889 | dt: 2102.25ms | img/sec: 1948.39
step 105179 | loss: 2.483455 | lr 1.9968e-05 | norm: 0.5019 | dt: 2068.39ms | img/sec: 1980.28
