Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93599 | loss: 1.998575 | lr 4.8077e-06 | norm: 1.5973 | dt: 4841.07ms | img/sec: 846.09
step 93600 | loss: 1.930928 | lr 9.6154e-06 | norm: 1.5985 | dt: 1647.65ms | img/sec: 2485.96
step 93601 | loss: 1.967216 | lr 1.4423e-05 | norm: 1.5606 | dt: 1647.66ms | img/sec: 2485.95
step 93602 | loss: 1.904409 | lr 1.9231e-05 | norm: 1.5488 | dt: 1641.71ms | img/sec: 2494.96
step 93603 | loss: 1.909174 | lr 2.4038e-05 | norm: 1.5127 | dt: 1684.62ms | img/sec: 2431.41
step 93604 | loss: 1.943032 | lr 2.8846e-05 | norm: 1.5268 | dt: 1639.69ms | img/sec: 2498.04
step 93605 | loss: 1.944492 | lr 3.3654e-05 | norm: 1.5214 | dt: 1673.62ms | img/sec: 2447.38
step 93606 | loss: 2.024166 | lr 3.8462e-05 | norm: 1.7219 | dt: 1637.84ms | img/sec: 2500.85
step 93607 | loss: 1.962395 | lr 4.3269e-05 | norm: 1.6799 | dt: 1691.48ms | img/sec: 2421.54
step 93608 | loss: 1.936078 | lr 4.8077e-05 | norm: 1.7035 | dt: 1645.54ms | img/sec: 2489.15
step 93609 | loss: 1.907206 | lr 5.2885e-05 | norm: 1.6679 | dt: 1645.11ms | img/sec: 2489.80
step 93610 | loss: 1.998206 | lr 5.7692e-05 | norm: 1.7128 | dt: 1687.96ms | img/sec: 2426.60
step 93611 | loss: 2.040339 | lr 6.2500e-05 | norm: 1.6794 | dt: 1641.95ms | img/sec: 2494.59
step 93612 | loss: 1.939131 | lr 6.7308e-05 | norm: 1.6985 | dt: 1651.44ms | img/sec: 2480.26
step 93613 | loss: 1.926106 | lr 7.2115e-05 | norm: 1.7761 | dt: 1661.57ms | img/sec: 2465.14
step 93614 | loss: 1.954603 | lr 7.6923e-05 | norm: 1.9920 | dt: 1649.69ms | img/sec: 2482.88
step 93615 | loss: 1.975968 | lr 8.1731e-05 | norm: 1.6016 | dt: 1711.89ms | img/sec: 2392.68
step 93616 | loss: 1.999490 | lr 8.6538e-05 | norm: 1.6644 | dt: 1652.26ms | img/sec: 2479.02
step 93617 | loss: 1.942444 | lr 9.1346e-05 | norm: 1.8002 | dt: 1656.58ms | img/sec: 2472.57
step 93618 | loss: 1.964183 | lr 9.6154e-05 | norm: 1.7258 | dt: 1735.56ms | img/sec: 2360.05
step 93619 | loss: 1.972518 | lr 1.0096e-04 | norm: 1.6783 | dt: 1651.49ms | img/sec: 2480.19
step 93620 | loss: 2.039555 | lr 1.0577e-04 | norm: 1.7032 | dt: 1649.23ms | img/sec: 2483.58
